Selection,Discharges,Hospitals,AvgExactLOS,MedianEstimatedCost,EstimatedCost,CensoredStays,MatchedDischarges,BenchmarkCoverage,ObservedMatchedDays,ExpectedMatchedDays,LOSIndex,ScenarioBedDays_0pct,ScenarioBedDays_5pct,ScenarioBedDays_10pct
All cohort,89984,52,7.7494050399,23484.4350000000,3477656909.1700000763,62,89877,0.9988108997,696468.0000000000,696827.2086807115,0.9994845082,0,34823.4000000000,69646.8000000000
Heart failure only,25040,50,6.4097902098,20741.3700000000,759632578.0299999714,15,25002,0.9984824281,160169.0000000000,160205.8254646847,0.9997701365,0,8008.4500000000,16016.9000000000
Other pneumonia only,9696,52,5.3028583222,16771.7500000000,241787641.0099999905,5,9669,0.9972153465,51252.0000000000,51296.6648552809,0.9991292834,0,2562.6000000000,5125.2000000000
Septicemia group only,55248,52,8.7861283194,26731.0050000000,2476236690.1300001144,42,55206,0.9992397915,485047.0000000000,485324.7183607459,0.9994277679,0,24252.3500000000,48504.7000000000
Age 70 or Older,47271,51,8.1959701145,25186.1500000000,1860928730.2200000286,24,47247,0.9994922891,387235.0000000000,387515.1027082786,0.9992771825,0,19361.7500000000,38723.5000000000
Queens hospitals,19566,10,7.5107122769,18419.6800000000,567123152.2599999905,9,19547,0.9990289277,146801.0000000000,153045.0035184903,0.9592015200,0,7340.0500000000,14680.1000000000
Heart failure and age 70 or Older,13896,50,6.8458990423,21522.2850000000,431818469.4599999785,9,13887,0.9993523316,95069.0000000000,95111.5842860347,0.9995522702,0,4753.4500000000,9506.9000000000
